date,time,open,high,low,close,volume,turnover,settlement,open_interest
2011/08/09,0,2719.0,2822.0,2702.6,2820.2,255517.0,211989193080.0,2804.0,20777.0
2011/08/10,0,2838.6,2849.8,2805.0,2807.8,171607.0,145720354260.0,2815.4,19016.0
2011/08/11,0,2790.0,2881.0,2785.2,2879.6,241459.0,205836452280.0,2864.2,18873.0
2011/08/12,0,2885.0,2888.0,2857.0,2860.4,156995.0,135260794620.0,2867.2,15803.0
2011/08/15,0,2879.0,2906.2,2860.8,2896.0,131681.0,113872849920.0,2897.8,13573.0
2011/08/16,0,2907.4,2919.4,2879.2,2880.0,97530.0,84836127780.0,2886.6,20036.0
2011/08/17,0,2885.6,2916.0,2885.2,2890.6,154412.0,134267278860.0,2893.4,24053.0
2011/08/18,0,2886.0,2894.6,2832.2,2846.4,165849.0,142677465720.0,2844.2,27528.0
2011/08/19,0,2816.6,2824.2,2786.8,2805.8,182229.0,153428790780.0,2805.2,29673.0
2011/08/22,0,2810.8,2835.0,2765.2,2786.2,204489.0,171630277560.0,2778.8,30034.0
2011/08/23,0,2792.0,2835.0,2781.6,2832.2,211257.0,177623234400.0,2814.2,30330.0
2011/08/24,0,2838.0,2844.8,2794.6,2800.4,187948.0,159184965120.0,2806.0,30176.0
2011/08/25,0,2812.8,2916.0,2811.2,2912.8,267514.0,229936818120.0,2908.2,33276.0
2011/08/26,0,2905.6,2914.4,2873.0,2894.6,209822.0,182112740220.0,2901.2,29360.0
2011/08/29,0,2879.6,2880.0,2841.6,2855.4,207234.0,177759440160.0,2857.4,28821.0
2011/08/30,0,2870.0,2910.6,2829.0,2831.8,240543.0,207296699580.0,2837.8,30229.0
2011/08/31,0,2835.6,2857.6,2825.8,2846.8,216290.0,184356630180.0,2844.6,29469.0
2011/09/01,0,2855.0,2876.8,2818.0,2828.0,235944.0,201392069580.0,2833.0,30081.0
2011/09/02,0,2821.0,2842.0,2791.0,2808.4,222157.0,187266301680.0,2805.6,29778.0
2011/09/05,0,2792.8,2795.0,2743.4,2748.4,184469.0,152674673520.0,2753.0,31310.0
2011/09/06,0,2740.0,2747.2,2712.2,2737.2,199381.0,163313548200.0,2726.6,32255.0
2011/09/07,0,2740.2,2785.6,2728.0,2776.0,224467.0,185622127440.0,2774.0,33146.0
2011/09/08,0,2780.0,2788.8,2756.0,2762.4,173979.0,144773921220.0,2763.6,30845.0
2011/09/09,0,2776.2,2806.0,2737.4,2750.0,243189.0,201803717640.0,2747.4,29822.0
2011/09/13,0,2713.8,2728.0,2699.0,2722.8,165873.0,135063988020.0,2722.6,26073.0
2011/09/14,0,2728.0,2742.6,2673.2,2730.6,205074.0,166957523340.0,2720.6,16501.0
2011/09/15,0,2738.2,2755.8,2723.0,2725.8,67646.0,55589614020.0,2732.6,7271.0
2011/09/16,0,2750.4,2761.8,2729.6,2735.2,189374.0,155966211540.0,2734.8,30154.0
2011/09/19,0,2710.0,2712.8,2668.2,2668.6,149785.0,120976509540.0,2682.8,31582.0
2011/09/20,0,2673.6,2706.6,2667.6,2704.6,197071.0,158814501360.0,2692.2,31555.0
2011/09/21,0,2698.0,2785.2,2676.0,2765.4,278252.0,228487827360.0,2772.6,34448.0
2011/09/22,0,2740.0,2759.8,2680.6,2684.4,225960.0,184662922800.0,2694.0,31992.0
2011/09/23,0,2641.6,2694.8,2624.0,2668.2,306868.0,244633510920.0,2660.4,29434.0
2011/09/26,0,2649.0,2685.6,2601.6,2605.4,271018.0,214859102880.0,2612.4,31869.0
2011/09/27,0,2634.8,2662.0,2618.0,2648.2,251326.0,198912156720.0,2646.8,30703.0
2011/09/28,0,2648.0,2661.4,2602.2,2618.6,227194.0,179550765600.0,2613.2,30460.0
2011/09/29,0,2599.8,2626.0,2582.6,2606.8,257025.0,200921273880.0,2603.4,31795.0
2011/09/30,0,2608.8,2614.6,2570.4,2571.8,194766.0,151769046840.0,2588.2,29095.0
2011/10/10,0,2600.0,2604.0,2562.0,2568.0,158979.0,122972623320.0,2569.4,33522.0
2011/10/11,0,2644.0,2650.0,2537.0,2553.6,237122.0,183959517840.0,2550.6,34691.0
2011/10/12,0,2542.4,2650.6,2533.4,2635.2,333517.0,260688162240.0,2640.8,31116.0
2011/10/13,0,2642.0,2669.8,2630.2,2654.6,249558.0,198522245160.0,2652.4,25346.0
2011/10/14,0,2659.4,2669.2,2633.2,2656.6,215399.0,171250982760.0,2653.6,23596.0
2011/10/17,0,2666.8,2690.2,2650.4,2663.4,197569.0,158054625540.0,2660.4,19498.0
2011/10/18,0,2639.8,2647.8,2586.2,2594.2,148901.0,117045537720.0,2597.4,14361.0
2011/10/19,0,2604.0,2627.8,2580.4,2586.0,203958.0,159064430580.0,2588.8,24244.0
2011/10/20,0,2568.0,2569.6,2504.0,2524.4,228747.0,173733694740.0,2524.2,28168.0
2011/10/21,0,2531.2,2546.0,2515.0,2521.2,229761.0,174248124000.0,2521.4,32834.0
2011/10/24,0,2535.0,2598.4,2511.2,2576.4,295585.0,226270318200.0,2581.6,37628.0
2011/10/25,0,2580.4,2646.6,2564.4,2622.0,296248.0,231558303600.0,2628.2,33092.0
2011/10/26,0,2628.2,2683.6,2622.6,2662.8,282652.0,225345681480.0,2663.4,33347.0
2011/10/27,0,2668.8,2679.6,2654.0,2675.8,210728.0,168562816800.0,2665.4,35266.0
2011/10/28,0,2698.0,2745.2,2688.4,2703.0,256011.0,208154608500.0,2710.2,33050.0
2011/10/31,0,2703.0,2710.8,2679.4,2693.8,177245.0,143294153760.0,2693.2,31678.0
2011/11/01,0,2685.0,2734.6,2677.0,2686.6,262698.0,213034935060.0,2692.6,31990.0
2011/11/02,0,2670.0,2779.0,2656.0,2777.0,291665.0,236099466060.0,2744.0,35339.0
2011/11/03,0,2771.0,2786.0,2741.0,2747.4,261952.0,217346113500.0,2754.6,33103.0
2011/11/04,0,2780.2,2795.0,2753.6,2773.2,263555.0,219183468300.0,2768.0,34532.0
2011/11/07,0,2760.2,2773.6,2738.4,2755.6,193648.0,159950511540.0,2747.4,34604.0
2011/11/08,0,2752.0,2769.0,2732.2,2741.0,226254.0,186451522200.0,2739.0,35409.0
2011/11/09,0,2755.2,2768.0,2714.0,2748.0,248857.0,204687807480.0,2745.6,34327.0
2011/11/10,0,2715.0,2733.6,2700.0,2701.0,226598.0,184752373620.0,2708.2,30354.0
2011/11/11,0,2707.6,2725.0,2691.8,2694.6,163246.0,132725938080.0,2700.4,28823.0
2011/11/14,0,2720.0,2766.2,2718.0,2752.2,195172.0,160781959980.0,2752.2,26157.0
2011/11/15,0,2745.2,2757.0,2734.0,2740.6,124833.0,102790605240.0,2742.4,19958.0
